tmax;tmin;tsuelo;puntorocio;presion;velviento;precipi;humedad;uvindex;y
25,55;15,17;16,07;15,05;1013;2,11;5,17;95;12,4;0,3
25,48;15,17;15,49;15,05;1016;1,12;3,88;96;12,4;0,3
23,99;16,38;16,31;17,71;1015;0,36;10,81;99;9;0,3
25,01;16,33;17,65;18,28;1017;1,13;9,99;95;9;0,3
25,1;16,25;16,31;18,86;1014;0,94;9,79;71;9;0,3
23,54;16,25;16,31;17,29;1009;2,31;9,67;78;9,53;1
24,85;16,25;15,71;16,91;1015;1,23;11,47;97;9,53;0,3
24,52;15,53;15,71;16,6;1015;0,31;18,9;98;10,52;0,3
22,86;16,01;15,71;14,61;1012;1,11;15,45;65;10,52;0,3
26,02;16,01;15,95;17,51;1008;1,92;9,02;70;8,8;0,3
25,12;16,01;15,94;15,88;1015;0,87;11,03;98;8,8;0,3
21,92;15,8;16,2;16,58;1015;0,54;25,16;98;10,73;0,3
20,25;16,28;16,2;15,05;1014;0,35;29,53;76;10,73;1
21,04;15,96;16,2;17,36;1012;0,76;17,61;79;5,74;1
19,37;16,4;14,9;17,25;1017;0,61;17,48;97;5,74;0,3
22,13;14,74;14,9;17,47;1016;0,74;10,94;98;8,06;0,3
23,02;14,97;14,9;17,26;1015;1,2;14,24;69;8,06;0,3
24,02;14,97;14,9;18,66;1012;1,69;9,8;86;10,65;0,3
21,99;14,97;14,84;16,82;1018;0,58;9,39;97;10,65;0,3
22;15,59;14,98;16,47;1017;0,54;12,14;99;9,56;0,3
21,32;15,7;14,98;16,66;1017;0,63;15,49;86;9,56;0,3
23,16;15,7;14,98;17,22;1011;1,55;14,23;77;10,85;1
23,25;15,7;15,21;16,25;1017;0,63;12,66;96;10,85;0,3
22,89;14,68;15,21;16,49;1016;0,46;6,82;98;10,26;0,3
23,4;14,1;15,21;16,82;1014;1,5;7,21;69;10,26;0,3
25,02;14,1;14,76;17,94;1010;1,26;4,36;74;12,15;0,3
24,46;14,1;15;16,41;1015;1,04;7,64;96;12,15;0,3
24,23;14,68;15,35;16,76;1014;0,54;8,51;98;11,51;0,3
23,65;14,81;15,35;16,37;1013;1,34;9,91;66;11,51;0,3
25,02;14,81;15,35;18,36;1009;1,72;11,1;74;11,72;0,3
24,48;14,81;15,29;17,14;1015;0,72;16,34;98;11,72;0,3
25,39;15,52;15,29;16,22;1015;0,34;15,41;98;11,59;0,3
24,41;15,49;15;16,38;1013;1,14;17,84;66;11,59;0,3
27,02;15,49;15;18,14;1009;1,9;14,7;70;10,36;0,3
25,37;15,49;16,09;16,45;1016;0,75;16,49;98;10,36;0,3
24,74;15,68;16,09;16,49;1016;0,8;12,08;98;8,64;0,3
24,34;15,68;16,09;17,48;1014;1,29;14,5;68;8,64;0,3
27,02;15,68;16,09;18,26;1009;1,5;12,39;68;11,93;0,3
25,03;15,68;14,99;16,77;1016;0,79;14,03;98;11,93;0,3
22,94;15,69;15,28;16,69;1016;0,68;20,09;99;5,67;0,3
22,79;15,61;15,28;16,47;1015;1,44;21,34;71;5,67;0,3
22,45;15,61;15,28;17,59;1011;1,48;22,54;80;11,7;1
23,19;15,61;15,36;17,08;1017;0,95;29,11;97;11,7;0,3
22,41;15,09;15,65;16,42;1016;0,48;7,65;99;7,71;0,3
23,02;15,17;15,65;18,47;1016;0,76;9,3;78;7,71;1
25,02;15,27;15,65;18,36;1012;1,56;10,02;78;8,81;1
22,39;15,36;14,81;16,94;1017;0,76;10,68;97;8,81;0,3
23,73;14,48;15,11;16,11;1017;0,68;8,7;98;11,3;0,3
23,26;14,37;15,11;16,19;1016;1,26;9,25;68;11,3;0,3
23,2;14,37;15,11;16,74;1011;1,9;9,6;75;10,75;0,3
23,74;14,37;14,85;16,21;1017;0,83;11,15;97;10,75;0,3
23,18;14,98;14,85;16,2;1017;0,39;14,13;99;11,38;0,3
22,21;15,09;15,45;16,3;1016;1,01;13,61;71;11,38;0,3
23,45;15,09;15,45;16,88;1011;1,49;12,68;70;12,06;0,3
23,64;15,09;14,65;16,46;1017;0,51;15,27;98;12,06;0,3
23,33;14,93;14,77;16,89;1016;0,57;13,25;98;10,56;0,3
22,96;15,12;14,77;16,98;1014;0,78;13,97;74;10,56;0,3
21,55;15,12;14,77;16,51;1010;1,72;18,73;72;11,1;0,3
23,1;15,12;14,75;17,36;1016;0,7;22,81;99;11,1;0,3
22,55;14,99;14,75;16,39;1016;0,56;13,66;99;7,82;0,3
22,13;15,03;14,35;15,93;1015;0,92;9,49;72;7,82;0,3
23,22;15,03;14,35;15,86;1010;1,25;9,56;68;11,83;0,3
23,04;15,03;14,99;15,31;1016;0,97;9,87;98;11,83;0,3
21,72;15,27;14,99;16,5;1015;0,82;17,17;99;10,9;0,3
23,02;15,16;14,99;17,25;1015;1,1;16,23;70;10,9;0,3
22,11;15,16;14,85;17,05;1010;1,81;13,97;79;11,31;1
22,42;15,16;14,5;16,46;1016;0,96;15,31;97;11,31;0,3
22,83;15,28;14,72;16,25;1015;0,37;16,39;99;10,55;0,3
22,74;14,93;14,72;15,91;1014;0,86;12,4;69;10,55;0,3
22,69;14,93;14,72;16,02;1010;1,51;8,28;71;11,9;0,3
23,1;14,93;14,93;15,78;1016;0,81;9,43;96;11,9;0,3
23,74;14,78;14,93;16,35;1016;0,13;12,56;98;11,2;0,3
23,75;14,37;14,93;16,05;1015;1,38;11,71;68;11,2;0,3
25,02;14,37;14,93;16,61;1009;1,24;10,57;62;10,8;0,3
24,8;14,37;15,33;16,05;1016;1,2;10,71;97;10,8;0,3
25,13;14,95;15,33;16,05;1016;0,47;15,59;98;8,33;0,3
24,74;15,44;15,33;15,89;1014;0,64;12,13;62;8,33;0,3
23,98;15,44;15,04;15,48;1009;1,53;9,82;65;11,49;0,3
